id_provincia,nombre
1,ALBACETE
2,ALICANTE
3,ALMERÍA
4,ARABA/ÁLAVA
5,ASTURIAS
6,ÁVILA
7,BADAJOZ
8,BALEARS (ILLES)
9,BARCELONA
10,BIZKAIA
11,BURGOS
12,CÁCERES
13,CÁDIZ
14,CANTABRIA
15,CASTELLÓN / CASTELLÓ
16,CEUTA
17,CIUDAD REAL
18,CÓRDOBA
19,CORUÑA (A)
20,CUENCA
21,GIPUZKOA
22,GIRONA
23,GRANADA
24,GUADALAJARA
25,HUELVA
26,HUESCA
27,JAÉN
28,LEÓN
29,LLEIDA
30,LUGO
31,MADRID
32,MÁLAGA
33,MELILLA
34,MURCIA
35,NAVARRA
36,OURENSE
37,PALENCIA
38,PALMAS (LAS)
39,PONTEVEDRA
40,RIOJA (LA)
41,SALAMANCA
42,SANTA CRUZ DE TENERIFE
43,SEGOVIA
44,SEVILLA
45,SORIA
46,TARRAGONA
47,TERUEL
48,TOLEDO
49,VALENCIA / VALÈNCIA
50,VALLADOLID
51,ZAMORA
52,ZARAGOZA
